taskId,messageIndex,role,timestamp,contentLength,isTruncated,toolCount,workspace
1fa0a859-ea76-4209-a4be-89d3955faee0,1,user,1970-01-01T00:00:00.000Z,403,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,2,assistant,1970-01-01T00:00:00.000Z,403,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,3,user,1970-01-01T00:00:00.000Z,403,,1,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,4,assistant,1970-01-01T00:00:00.000Z,403,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,5,user,1970-01-01T00:00:00.000Z,403,,1,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,6,assistant,1970-01-01T00:00:00.000Z,403,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,7,assistant,1970-01-01T00:00:00.000Z,403,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,8,assistant,1970-01-01T00:00:00.000Z,403,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,9,assistant,1970-01-01T00:00:00.000Z,403,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,10,assistant,1970-01-01T00:00:00.000Z,162,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,11,user,1970-01-01T00:00:00.000Z,403,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,12,assistant,1970-01-01T00:00:00.000Z,403,,1,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,13,assistant,1970-01-01T00:00:00.000Z,319,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,14,assistant,1970-01-01T00:00:00.000Z,184,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,15,user,1970-01-01T00:00:00.000Z,222,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,16,assistant,1970-01-01T00:00:00.000Z,,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,17,assistant,1970-01-01T00:00:00.000Z,47,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,18,assistant,1970-01-01T00:00:00.000Z,403,,1,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,19,assistant,1970-01-01T00:00:00.000Z,276,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,20,assistant,1970-01-01T00:00:00.000Z,140,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,21,user,1970-01-01T00:00:00.000Z,223,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,22,assistant,1970-01-01T00:00:00.000Z,,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,23,assistant,1970-01-01T00:00:00.000Z,47,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,24,assistant,1970-01-01T00:00:00.000Z,403,,1,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,25,assistant,1970-01-01T00:00:00.000Z,334,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,26,assistant,1970-01-01T00:00:00.000Z,191,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,27,user,1970-01-01T00:00:00.000Z,279,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,28,assistant,1970-01-01T00:00:00.000Z,,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,29,assistant,1970-01-01T00:00:00.000Z,201,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,30,assistant,1970-01-01T00:00:00.000Z,403,,1,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,31,assistant,1970-01-01T00:00:00.000Z,403,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,32,assistant,1970-01-01T00:00:00.000Z,128,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,33,user,1970-01-01T00:00:00.000Z,296,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,34,assistant,1970-01-01T00:00:00.000Z,,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,35,assistant,1970-01-01T00:00:00.000Z,403,,1,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,36,assistant,1970-01-01T00:00:00.000Z,403,,1,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,37,assistant,1970-01-01T00:00:00.000Z,403,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,38,assistant,1970-01-01T00:00:00.000Z,403,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,39,user,1970-01-01T00:00:00.000Z,302,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,40,assistant,1970-01-01T00:00:00.000Z,403,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,41,assistant,1970-01-01T00:00:00.000Z,403,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,42,assistant,1970-01-01T00:00:00.000Z,403,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,43,user,1970-01-01T00:00:00.000Z,403,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,44,assistant,1970-01-01T00:00:00.000Z,403,,1,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,45,assistant,1970-01-01T00:00:00.000Z,403,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,46,assistant,1970-01-01T00:00:00.000Z,403,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,47,user,1970-01-01T00:00:00.000Z,395,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,48,assistant,1970-01-01T00:00:00.000Z,,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,49,assistant,1970-01-01T00:00:00.000Z,403,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,50,assistant,1970-01-01T00:00:00.000Z,403,,1,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,51,assistant,1970-01-01T00:00:00.000Z,403,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,52,assistant,1970-01-01T00:00:00.000Z,403,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,53,user,1970-01-01T00:00:00.000Z,300,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,54,assistant,1970-01-01T00:00:00.000Z,403,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,55,assistant,1970-01-01T00:00:00.000Z,403,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,56,assistant,1970-01-01T00:00:00.000Z,287,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,57,user,1970-01-01T00:00:00.000Z,243,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,58,assistant,1970-01-01T00:00:00.000Z,403,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,59,assistant,1970-01-01T00:00:00.000Z,403,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,60,assistant,1970-01-01T00:00:00.000Z,403,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,61,user,1970-01-01T00:00:00.000Z,403,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,62,assistant,1970-01-01T00:00:00.000Z,338,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,63,assistant,1970-01-01T00:00:00.000Z,403,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,64,assistant,1970-01-01T00:00:00.000Z,403,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,65,assistant,1970-01-01T00:00:00.000Z,342,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,66,user,1970-01-01T00:00:00.000Z,403,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,67,assistant,1970-01-01T00:00:00.000Z,403,,1,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,68,assistant,1970-01-01T00:00:00.000Z,403,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,69,assistant,1970-01-01T00:00:00.000Z,132,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,70,user,1970-01-01T00:00:00.000Z,403,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,71,assistant,1970-01-01T00:00:00.000Z,403,,1,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
1fa0a859-ea76-4209-a4be-89d3955faee0,72,assistant,1970-01-01T00:00:00.000Z,370,,,g:/Mon Drive/MyIA/Comptes/Pauwels Consulting/Pauwels Consulting - Formation IA
